chromosome	start	end
10	20000001	30000000
10	30000001	40000000
10	40000001	50000000
10	50000001	60000000
10	60000001	70000000
10	70000001	80000000
10	80000001	90000000
10	90000001	100000000
10	100000001	110000000
10	110000001	120000000
10	120000001	130000000
10	130000001	140000000
11	1	10000000
11	10000001	20000000
11	20000001	30000000
11	30000001	40000000
11	40000001	50000000
11	50000001	60000000
11	60000001	70000000
11	70000001	80000000
11	80000001	90000000
11	90000001	100000000
11	100000001	110000000
11	110000001	120000000
11	120000001	130000000
11	130000001	140000000
12	1	10000000
12	10000001	20000000
12	20000001	30000000
12	30000001	40000000
12	40000001	50000000
12	50000001	60000000
12	60000001	70000000
12	70000001	80000000
12	80000001	90000000
12	90000001	100000000
12	100000001	110000000
12	110000001	120000000
12	120000001	130000000
12	130000001	140000000
13	1	10000000
13	10000001	20000000
13	20000001	30000000
13	30000001	40000000
13	40000001	50000000
13	50000001	60000000
13	60000001	70000000
13	70000001	80000000
13	80000001	90000000
13	90000001	100000000
13	100000001	110000000
13	110000001	120000000
14	1	10000000
14	10000001	20000000
14	20000001	30000000
14	30000001	40000000
14	40000001	50000000
14	50000001	60000000
14	60000001	70000000
14	70000001	80000000
14	80000001	90000000
14	90000001	100000000
14	100000001	110000000
15	1	10000000
15	10000001	20000000
15	20000001	30000000
15	30000001	40000000
15	40000001	50000000
15	50000001	60000000
15	60000001	70000000
15	70000001	80000000
15	80000001	90000000
15	90000001	100000000
15	100000001	110000000
16	1	10000000
16	10000001	20000000
16	20000001	30000000
16	30000001	40000000
16	40000001	50000000
16	50000001	60000000
16	60000001	70000000
16	70000001	80000000
16	80000001	90000000
16	90000001	100000000
17	1	10000000
17	10000001	20000000
17	20000001	30000000
17	30000001	40000000
17	40000001	50000000
17	50000001	60000000
17	60000001	70000000
17	70000001	80000000
17	80000001	90000000
18	1	10000000
18	10000001	20000000
18	20000001	30000000
18	30000001	40000000
18	40000001	50000000
18	50000001	60000000
18	60000001	70000000
18	70000001	80000000
19	1	10000000
19	10000001	20000000
19	20000001	30000000
19	30000001	40000000
19	40000001	50000000
19	50000001	60000000
20	1	10000000
20	10000001	20000000
20	20000001	30000000
20	30000001	40000000
20	40000001	50000000
20	50000001	60000000
20	60000001	70000000
21	1	10000000
21	10000001	20000000
21	20000001	30000000
21	30000001	40000000
21	40000001	50000000
22	1	10000000
22	10000001	20000000
22	20000001	30000000
22	30000001	40000000
22	40000001	50000000
22	50000001	60000000
X	1	10000000
X	10000001	20000000
X	20000001	30000000
X	30000001	40000000
X	40000001	50000000
X	50000001	60000000
X	60000001	70000000
X	70000001	80000000
X	80000001	90000000
X	90000001	100000000
X	100000001	110000000
X	110000001	120000000
X	120000001	130000000
X	130000001	140000000
X	140000001	150000000
X	150000001	160000000
